country,electricity,domestic aviation,road non-elec,rail non-elec,domestic navigation,services non-elec,residential non-elec,international aviation,international navigation,industrial processes,agriculture,LULUCF,waste management,other,indirect,industrial non-elec
AL,0.5351666666666667,0.0,0.7733791666666667,0.0,0.0,0.0,0.3343499999999999,0.0,0.0,,0.0,,,,,2.1075930555555553
AT,11.07937937,0.03200273,13.328049429999998,0.17797633999999998,0.0147922,2.30045163,9.96308196,0.88597299,0.04948028,10.87118623,1.30212302,-12.15659679,0.02791954,0.0,0.0,12.092284989999992
BA,9.4888,0.0,0.0,0.0,0.0,0.0,0.07388888888888889,0.0,0.0,,0.0,,,,,3.9403888888888887
BE,23.53655477,0.014688660000000001,19.6796592,0.22244965,0.36187378000000003,4.2922321199999995,20.4955586,3.12522111,13.312504520000001,18.2036862,3.21484243,-3.2490549900000003,0.29949882,0.0,0.0,13.550572990000001
BG,35.178685120000004,0.1351009,5.78044233,0.32284629000000004,0.056419739999999996,3.11695761,2.88725718,0.713284,0.182664,8.360438700000001,1.69477212,-19.56305755,0.01983452,0.0,0.0,18.25027258000001
CH,2.10376524,0.25255489,13.967082809999999,0.02868849,0.11427297,4.83846653,11.60844109,3.0659231100000004,0.05980762,3.1546271200000002,0.8612695499999999,-2.01860274,0.04023302,0.010960000000000001,0.38002006,4.048328509999999
CZ,54.58489821,0.13943891,10.2525584,0.76814579,0.05351835,9.907145270000001,18.374860530000003,0.5237209,0.0,15.646574399999999,4.96781646,-5.77081298,0.02083381,0.0,1.8646168500000002,48.96469468000003
DE,338.45115956,2.28049232,151.89837502999998,2.90052204,3.6445326700000003,64.1058947,128.63575218,12.0526769,6.4053476,59.694713889999996,13.45370375,-30.464211749999997,0.0,0.0,0.0,268.8253738000002
DK,24.697304,0.20479408000000002,9.35659721,0.29674549,0.71444274,1.45970698,4.988080490000001,1.77400144,3.01229527,1.27842181,3.2130958699999996,6.17279161,0.020309149999999998,0.0,1.13322597,2.5369653199999957
EE,29.02660444,0.005519110000000001,2.22607147,0.15392831,0.02178658,0.0475399,1.3378301799999999,0.10675165,0.55240204,0.95783731,0.50838335,-1.94512291,0.00225179,0.0,0.0,1.9603314099999916
ES,65.57540975,1.66440843,50.43293134,0.42172116,5.21410345,3.8115577,12.802207630000002,4.7314893499999995,11.65859658,21.99693806,9.17763057,-36.63285788,0.11325905,0.0,0.0,43.61330305999998
FI,16.453366539999998,0.38513885,10.80393276,0.1911011,0.44128593,2.47618078,3.1477140599999998,1.0077297600000001,1.83199523,3.6822125,2.51044432,-18.43056332,0.0,0.0,0.16580883,14.040772430000004
FR,49.16106402,4.383831519999999,114.06254282,1.07843066,1.02293619,29.934178029999998,55.01185409,8.53709252,7.96781239,31.50156168,13.083037639999999,-26.204779180000003,2.20857629,0.0,0.0,82.8241239
GB,203.11585003,1.5398143,107.89076986,1.47182283,7.53575225,25.40019753,78.22833139000001,15.3366505,8.91475024,24.71274051,7.31782843,-2.40157228,1.31175419,0.0,0.0,115.60497868999984
GR,40.616710160000004,0.32341932,11.79305967,0.19894266,1.8087091,0.51886311,4.65384672,2.47479,8.10571635,8.70038321,2.9532169400000003,-2.17704304,0.00022015,0.0,0.0,1.2776707599999937
HR,3.72889153,0.006601009999999999,3.50587486,0.14007851999999998,0.13438337,0.85465183,2.02884306,0.49661612000000005,0.14723118,2.62201933,0.88543592,-6.47076781,0.0005357,0.0,0.0,8.778087000000001
HU,17.8918835,0.0036998,7.8263320400000005,0.5329836699999999,0.20912883,2.7570882,15.79803896,0.50500305,0.0,8.172958249999999,3.04018225,-2.6794870299999998,0.09687855000000001,0.0,0.0,16.630676729999998
IE,10.87649,0.04797992,4.69042381,0.13319132,0.08489987,2.2318502400000004,7.0518632,1.07269182,0.05677574,2.24790834,1.1989399900000002,4.32685275,0.09558639,0.0,0.0,3.155727129999996
IT,108.52720957000001,1.49311851,92.31580551,0.61332569,5.4701112599999995,11.81535102,55.55435172,4.2847785400000005,4.45375105,29.39683942,8.81783454,-5.66199193,0.51200858,0.0,0.0,114.75431678999989
LT,12.00294991,0.00815692,5.247150410000001,0.34997185999999997,0.015485480000000001,3.05875397,2.3614626199999997,0.39890928000000003,0.3021744,3.47002058,1.5394092000000001,-5.70982239,0.00265932,0.0,0.0,7.014711759999995
LU,0.03328747,0.00021483,2.56264023,0.02482326,0.00130465,0.63887744,0.66981598,0.38601731,7.818e-05,1.62890571,0.03431944,0.07992429,0.0,0.0,0.0,5.86735094
LV,6.08262322,6.536999999999999e-05,2.4021552,0.5367655499999999,0.00101445,2.69569324,1.14346336,0.22114512,1.51548877,0.65098731,1.94346065,-11.214160009999999,0.00057466,0.0,0.040488039999999996,2.310694019999999
ME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
MK,5.4045,0.0,0.8439958333333333,0.02375,0.0,0.0148,0.4386541666666667,0.017020833333333332,0.0,,0.1498625,,,,,1.715091666666667
NL,40.02704563,0.08476853,26.45057252,0.08846512,0.74346052,8.29312659,20.73484332,4.60435501,34.947406519999994,6.835408510000001,10.01948877,6.48466503,0.0,0.0,0.91719155,9.556168390000007
NO,0.40767908999999997,0.6962738,7.049874979999999,0.09340005,2.03608431,1.1646238,1.70196833,0.64292814,2.3017773900000003,6.9683004099999994,1.5162809300000002,-10.48883573,0.00018937,,0.0,10.741945490000003
PL,227.27946095000001,0.06518197,18.435525939999998,1.6236691,0.15069069,9.71477053,35.222496160000006,0.63755328,1.2653455200000001,18.76011158,11.074375850000001,-32.99248865,0.35005801000000003,0.0,0.0,51.96727838000003
PT,14.354840690000001,0.17781769,10.00124006,0.17719189,0.26251703,0.7044826399999999,1.6399023,1.53267365,1.3999681499999999,5.59709997,1.15281706,0.27184642000000003,0.00707365,0.0,0.08804313000000001,8.07534706
RO,66.27988645,0.02486842,10.365545319999999,0.45189864999999996,1.1513370399999998,0.0,8.4244172,0.79015917,0.0,24.37591059,2.1765798199999997,-20.249672,0.0,,0.0,55.24527003
RS,36.885025,0.0,4.921395833333334,0.0,0.0,0.0,2.1207083333333334,0.47658333333333336,0.0,,0.229,,,,,10.169268055555555
SE,7.7136988,0.67304192,16.97933329,0.10140936,0.44273006,2.9003982099999996,6.31739545,1.33493932,2.33981129,5.954906530000001,2.00510777,-36.23589292,0.04385451,,0.0,10.542198380000002
SI,6.09561117,0.0010687899999999998,2.59970761,0.06519283000000001,0.0,0.50278621,0.80871372,0.04887583,0.0,1.12883979,0.38683151000000005,-4.41924778,0.00199546,0.0,0.0,3.45421544
SK,14.70015191,0.00373821,4.50302419,0.37228856,2.248e-05,4.1475092,6.77335716,0.06707624,0.06457655,8.384903,0.21280564999999999,-9.78267255,0.00215046,0.0,0.0,22.401858979999997
